00001740	03110322	_derivationally_related_form	0.363636	0.021336	4
00001740	00001740	_verb_group	0.26945	0.499121	4
00002137	00690614	_derivationally_related_form	0.296296	0.000269224	4
00002573	00831191	_derivationally_related_form	0.29461	0.021336	4
00002573	04080833	_derivationally_related_form	0.29461	0.021336	4
00002573	04250850	_derivationally_related_form	0.29461	0.021336	4
00002573	05200169	_derivationally_related_form	0.29461	0.021336	4
00002573	05616246	_derivationally_related_form	0.29461	0.021336	4
00002573	00002325	_verb_group	0.26945	0.499121	4
00002573	00002573	_verb_group	0.26945	0.499121	4
00003553	00252019	_derivationally_related_form	0.296296	0.000269224	4
00003553	00339464	_derivationally_related_form	0.296296	0.000269224	4
00003553	02624263	_derivationally_related_form	0.296296	0.000269224	4
00003553	00002684	_has_part	0.5	0.000207641	4
00003553	03892891	_hypernym	0.5	2.8739e-05	4
00003826	00084230	_derivationally_related_form	0.4	6.7306e-05	4
00003826	02607455	_derivationally_related_form	0.4	6.7306e-05	4
00004475	02618149	_derivationally_related_form	0.30353	0.0222783	4
00004475	06037666	_synset_domain_topic_of	0.294118	0.0134788	2
00004819	00084230	_derivationally_related_form	0.4	6.7306e-05	4
00004819	02607455	_derivationally_related_form	0.4	6.7306e-05	4
00005815	00084230	_derivationally_related_form	0.4	6.7306e-05	4
00005815	02607455	_derivationally_related_form	0.4	6.7306e-05	4
00006032	02166460	_derivationally_related_form	0.296296	0.000269224	4
00006032	02729632	_derivationally_related_form	0.30353	0.0222783	4
00006336	10421470	_derivationally_related_form	0.4	6.7306e-05	4
00006484	09385911	_hypernym	0.333333	5.7478e-05	4
00007846	00726300	_derivationally_related_form	0.296296	0.000269224	4
00009492	02665803	_derivationally_related_form	0.4	6.7306e-05	4
00009492	09855630	_derivationally_related_form	0.4	6.7306e-05	4
00009631	00115500	_derivationally_related_form	0.29461	0.021336	4
00009631	00009631	_verb_group	0.26945	0.499121	4
00010054	01848465	_hypernym	0.333333	2.8739e-05	4
00010054	01989053	_hypernym	0.333333	2.8739e-05	4
00011982	06043075	_synset_domain_topic_of	0.430982	0.0901797	4
00012267	10041887	_derivationally_related_form	0.29461	0.021336	4
00012267	10117511	_derivationally_related_form	0.29461	0.021336	4
00012267	13258362	_derivationally_related_form	0.277018	0.0211341	4
00012267	00012267	_verb_group	0.26945	0.499121	4
